Genome,Length (bp),N50,Completeness %,Contamination%,Species representative,MGnify accession
GUT_GENOME143495,4576818,22972,75.3,1.69,GUT_GENOME143495,MGYG-HGUT-02473
GUT_GENOME143496,3995023,185171,75.64,0.46,GUT_GENOME143496,MGYG-HGUT-02474
GUT_GENOME143497,4812037,11567,98.73,1.5,GUT_GENOME143497,MGYG-HGUT-02475
GUT_GENOME143498,4935121,4723304,99.87,0.33,GUT_GENOME143498,MGYG-HGUT-02476
GUT_GENOME143502,5083867,5030517,99.76,0.09,GUT_GENOME143502,MGYG-HGUT-02477
GUT_GENOME143505,5444912,5444912,99.25,0.0,GUT_GENOME143505,MGYG-HGUT-02478
GUT_GENOME143506,1714950,1711272,99.88,1.48,GUT_GENOME143506,MGYG-HGUT-02479
GUT_GENOME143514,2680191,75477,100.0,0.2,GUT_GENOME143514,MGYG-HGUT-02480
GUT_GENOME143519,4867831,52023,100.0,0.0,GUT_GENOME143519,MGYG-HGUT-02481
GUT_GENOME143522,2151595,80809,99.33,1.01,GUT_GENOME143522,MGYG-HGUT-02482
GUT_GENOME143525,3781854,86822,100.0,0.0,GUT_GENOME143525,MGYG-HGUT-02483
GUT_GENOME143527,4470589,26207,99.82,0.47,GUT_GENOME143527,MGYG-HGUT-02484
GUT_GENOME143602,2635399,82575,98.88,1.12,GUT_GENOME143602,MGYG-HGUT-02485
GUT_GENOME143604,3346458,3303644,100.0,1.12,GUT_GENOME143604,MGYG-HGUT-02486
GUT_GENOME143632,3399341,329790,100.0,0.0,GUT_GENOME143632,MGYG-HGUT-02487
GUT_GENOME143633,3747729,365619,94.61,0.54,GUT_GENOME143633,MGYG-HGUT-02488
GUT_GENOME143682,2153911,98689,99.82,0.21,GUT_GENOME143682,MGYG-HGUT-02489
GUT_GENOME143709,6537383,254830,99.39,0.5,GUT_GENOME143709,MGYG-HGUT-02490
GUT_GENOME143711,5264779,178551,99.59,2.15,GUT_GENOME143711,MGYG-HGUT-02491
GUT_GENOME143712,3449685,3449685,99.28,0.0,GUT_GENOME143712,MGYG-HGUT-02492
GUT_GENOME143718,3324683,206333,99.63,0.12,GUT_GENOME143718,MGYG-HGUT-02493
GUT_GENOME143723,4844850,687986,99.88,0.64,GUT_GENOME143723,MGYG-HGUT-02494
GUT_GENOME143724,5258449,5258449,99.31,0.49,GUT_GENOME143724,MGYG-HGUT-02495
GUT_GENOME143726,4572147,179074,100.0,0.68,GUT_GENOME143726,MGYG-HGUT-02496
GUT_GENOME143727,5138968,5124987,99.94,0.33,GUT_GENOME143727,MGYG-HGUT-02497
GUT_GENOME143740,4685709,212690,98.78,0.33,GUT_GENOME143740,MGYG-HGUT-02498
GUT_GENOME143746,4871475,263320,99.07,0.04,GUT_GENOME143746,MGYG-HGUT-02499
GUT_GENOME143747,5087499,4918273,100.0,0.11,GUT_GENOME143747,MGYG-HGUT-02500
GUT_GENOME143749,4737011,167061,98.68,0.78,GUT_GENOME143749,MGYG-HGUT-02501
GUT_GENOME143751,5337660,116832,99.07,1.17,GUT_GENOME143751,MGYG-HGUT-02502
GUT_GENOME143752,4697885,332883,99.97,0.04,GUT_GENOME143752,MGYG-HGUT-02503
GUT_GENOME143760,5004730,4876110,99.45,0.18,GUT_GENOME143760,MGYG-HGUT-02504
GUT_GENOME143765,2465367,115926,99.33,0.12,GUT_GENOME143765,MGYG-HGUT-02505
GUT_GENOME144544,5339468,5168620,99.97,0.04,GUT_GENOME144544,MGYG-HGUT-02506
GUT_GENOME145378,4965172,121850,98.6,0.33,GUT_GENOME145378,MGYG-HGUT-02507
GUT_GENOME145582,4498956,4498956,99.92,0.28,GUT_GENOME145582,MGYG-HGUT-02508
GUT_GENOME145587,2501785,126294,100.0,0.0,GUT_GENOME145587,MGYG-HGUT-02509
GUT_GENOME145695,5247162,302626,99.99,0.14,GUT_GENOME145695,MGYG-HGUT-02510
GUT_GENOME145698,5624300,370053,100.0,0.04,GUT_GENOME145698,MGYG-HGUT-02511
GUT_GENOME145980,3906921,3906921,100.0,0.0,GUT_GENOME145980,MGYG-HGUT-02512
GUT_GENOME145981,3981928,22426,100.0,0.0,GUT_GENOME145981,MGYG-HGUT-02513
GUT_GENOME145982,4101537,3909768,100.0,0.0,GUT_GENOME145982,MGYG-HGUT-02514
GUT_GENOME145983,4643861,4588711,99.9,0.04,GUT_GENOME145983,MGYG-HGUT-02515
GUT_GENOME145984,3639158,1999617,91.35,0.0,GUT_GENOME145984,MGYG-HGUT-02516
GUT_GENOME145985,3592125,3592125,99.44,0.24,GUT_GENOME145985,MGYG-HGUT-02517
GUT_GENOME146003,5076559,434703,99.81,0.0,GUT_GENOME146003,MGYG-HGUT-02518
GUT_GENOME146008,4770639,80960,99.97,0.38,GUT_GENOME146008,MGYG-HGUT-02519
GUT_GENOME146009,5408082,5408082,99.93,1.78,GUT_GENOME146009,MGYG-HGUT-02520
GUT_GENOME146010,6166452,5529134,99.34,1.7,GUT_GENOME146010,MGYG-HGUT-02521
GUT_GENOME146011,2810441,2810441,99.37,0.0,GUT_GENOME146011,MGYG-HGUT-02522
GUT_GENOME147109,2940111,147856,98.39,0.81,GUT_GENOME147109,MGYG-HGUT-02523
GUT_GENOME147115,4273496,140676,100.0,0.0,GUT_GENOME147115,MGYG-HGUT-02524
GUT_GENOME147131,5023220,229683,99.95,0.08,GUT_GENOME147131,MGYG-HGUT-02525
GUT_GENOME147138,5049466,4906118,99.97,0.0,GUT_GENOME147138,MGYG-HGUT-02526
GUT_GENOME147146,4477475,369568,99.97,0.0,GUT_GENOME147146,MGYG-HGUT-02527
GUT_GENOME147149,3172613,3172613,99.33,1.34,GUT_GENOME147149,MGYG-HGUT-02528
GUT_GENOME147152,4703175,119499,100.0,0.0,GUT_GENOME147152,MGYG-HGUT-02529
GUT_GENOME147164,2864137,38521,98.99,0.0,GUT_GENOME147164,MGYG-HGUT-02530
GUT_GENOME147168,3116866,184373,97.33,0.0,GUT_GENOME147168,MGYG-HGUT-02531
GUT_GENOME147522,4096279,4053831,100.0,0.0,GUT_GENOME147522,MGYG-HGUT-02532
GUT_GENOME147523,4933066,222954,100.0,0.41,GUT_GENOME147523,MGYG-HGUT-02533
GUT_GENOME147524,5715629,5130228,99.97,0.9,GUT_GENOME147524,MGYG-HGUT-02534
GUT_GENOME147525,4885099,4885099,99.97,0.58,GUT_GENOME147525,MGYG-HGUT-02535
GUT_GENOME147542,3653255,200484,99.62,0.56,GUT_GENOME147542,MGYG-HGUT-02536
GUT_GENOME147550,2636961,129311,98.68,0.0,GUT_GENOME147550,MGYG-HGUT-02537
GUT_GENOME147598,5484149,5306618,100.0,0.02,GUT_GENOME147598,MGYG-HGUT-02538
GUT_GENOME147602,2306349,2306349,100.0,0.81,GUT_GENOME147602,MGYG-HGUT-02539
GUT_GENOME147612,4187245,187137,99.26,0.2,GUT_GENOME147612,MGYG-HGUT-02540
GUT_GENOME147629,2547857,26546,97.51,0.0,GUT_GENOME147629,MGYG-HGUT-02541
GUT_GENOME147630,2852137,43192,98.94,1.46,GUT_GENOME147630,MGYG-HGUT-02542
GUT_GENOME147644,1665696,131279,98.65,0.07,GUT_GENOME147644,MGYG-HGUT-02543
GUT_GENOME147673,3738151,153272,100.0,0.0,GUT_GENOME147673,MGYG-HGUT-02544
GUT_GENOME147678,2833887,2833887,100.0,0.0,GUT_GENOME147678,MGYG-HGUT-02545
GUT_GENOME147776,3225304,136645,93.62,1.01,GUT_GENOME147776,MGYG-HGUT-02546
GUT_GENOME147777,2429032,137903,100.0,0.0,GUT_GENOME147777,MGYG-HGUT-02547
GUT_GENOME147796,2783373,76927,99.37,0.44,GUT_GENOME147796,MGYG-HGUT-02548
GUT_GENOME147854,5479119,523984,99.3,0.08,GUT_GENOME147854,MGYG-HGUT-02549
GUT_GENOME148088,1590794,7578,84.5,2.01,GUT_GENOME148088,MGYG-HGUT-02550
GUT_GENOME148095,1748237,15032,92.73,0.23,GUT_GENOME148095,MGYG-HGUT-02551
GUT_GENOME148443,3071336,180072,99.33,0.0,GUT_GENOME148443,MGYG-HGUT-02552
GUT_GENOME148502,1478585,7063,84.06,1.01,GUT_GENOME148502,MGYG-HGUT-02553
GUT_GENOME148641,1500206,5312,79.28,2.83,GUT_GENOME148641,MGYG-HGUT-02554
GUT_GENOME148816,2144821,9600,89.8,1.9,GUT_GENOME148816,MGYG-HGUT-02555
GUT_GENOME148897,2634532,131718,98.3,0.0,GUT_GENOME148897,MGYG-HGUT-02556
GUT_GENOME148915,2163992,26310,99.19,1.16,GUT_GENOME148915,MGYG-HGUT-02557
GUT_GENOME149090,3471678,38679,97.39,0.09,GUT_GENOME149090,MGYG-HGUT-02558
GUT_GENOME149116,2652289,18682,94.11,0.0,GUT_GENOME149116,MGYG-HGUT-02559
GUT_GENOME149380,5390440,143871,97.96,0.37,GUT_GENOME149380,MGYG-HGUT-02560
GUT_GENOME149381,4554549,136206,84.83,0.65,GUT_GENOME149381,MGYG-HGUT-02561
GUT_GENOME149444,1679141,260436,100.0,0.63,GUT_GENOME149444,MGYG-HGUT-02562
GUT_GENOME149497,2922672,28252,98.24,0.0,GUT_GENOME149497,MGYG-HGUT-02563
GUT_GENOME149574,2497816,112999,96.9,0.0,GUT_GENOME149574,MGYG-HGUT-02564
GUT_GENOME149706,1964232,13131,97.95,0.75,GUT_GENOME149706,MGYG-HGUT-02565
GUT_GENOME149712,2080428,13137,95.97,0.12,GUT_GENOME149712,MGYG-HGUT-02566
GUT_GENOME149894,2236504,42197,95.44,0.75,GUT_GENOME149894,MGYG-HGUT-02567
GUT_GENOME150050,2891879,58157,97.78,0.0,GUT_GENOME150050,MGYG-HGUT-02568
GUT_GENOME150307,2142420,3302,78.44,0.34,GUT_GENOME150307,MGYG-HGUT-02569
GUT_GENOME150720,2026568,26947,97.99,0.0,GUT_GENOME150720,MGYG-HGUT-02570
GUT_GENOME150770,1451024,204313,80.28,0.7,GUT_GENOME150770,MGYG-HGUT-02571
GUT_GENOME150801,1311921,17272,72.86,0.38,GUT_GENOME150801,MGYG-HGUT-02572
GUT_GENOME150819,2234911,40502,96.17,0.0,GUT_GENOME150819,MGYG-HGUT-02573
GUT_GENOME151017,3729499,8144,98.88,2.25,GUT_GENOME151017,MGYG-HGUT-02574
GUT_GENOME151520,2444047,10118,79.61,2.73,GUT_GENOME151520,MGYG-HGUT-02575
GUT_GENOME151535,2013227,9375,94.35,1.61,GUT_GENOME151535,MGYG-HGUT-02576
GUT_GENOME151605,1657085,4788,81.82,4.42,GUT_GENOME151605,MGYG-HGUT-02577
GUT_GENOME151671,2398245,88451,82.71,0.79,GUT_GENOME151671,MGYG-HGUT-02578
GUT_GENOME151778,1757018,52428,99.21,0.52,GUT_GENOME151778,MGYG-HGUT-02579
GUT_GENOME151978,3016685,166712,99.33,0.0,GUT_GENOME151978,MGYG-HGUT-02580
GUT_GENOME152049,1543318,44393,76.44,0.67,GUT_GENOME152049,MGYG-HGUT-02581
GUT_GENOME152118,1765105,40102,98.68,0.0,GUT_GENOME152118,MGYG-HGUT-02582
GUT_GENOME152230,1551796,492326,78.51,1.9,GUT_GENOME152230,MGYG-HGUT-02583
GUT_GENOME152364,3044716,121707,97.96,1.36,GUT_GENOME152364,MGYG-HGUT-02584
GUT_GENOME152489,2701793,37592,62.07,0.0,GUT_GENOME152489,MGYG-HGUT-02585
GUT_GENOME152509,1661999,13808,90.25,0.16,GUT_GENOME152509,MGYG-HGUT-02586
GUT_GENOME152519,4423098,43804,92.85,0.38,GUT_GENOME152519,MGYG-HGUT-02587
GUT_GENOME152588,2350010,20972,95.93,1.34,GUT_GENOME152588,MGYG-HGUT-02588
GUT_GENOME152603,2786078,81810,99.11,0.0,GUT_GENOME152603,MGYG-HGUT-02589
GUT_GENOME152604,1062927,18148,92.42,1.12,GUT_GENOME152604,MGYG-HGUT-02590
GUT_GENOME152800,1836000,109490,98.02,0.62,GUT_GENOME152800,MGYG-HGUT-02591
GUT_GENOME152999,2965227,49097,97.84,0.48,GUT_GENOME152999,MGYG-HGUT-02592
GUT_GENOME153023,1475799,71997,93.44,0.27,GUT_GENOME153023,MGYG-HGUT-02593
GUT_GENOME153042,2166519,41983,93.16,1.12,GUT_GENOME153042,MGYG-HGUT-02594
GUT_GENOME153166,1783264,36441,86.74,1.34,GUT_GENOME153166,MGYG-HGUT-02595
GUT_GENOME153233,2662706,26891,93.66,0.58,GUT_GENOME153233,MGYG-HGUT-02596
GUT_GENOME153239,1757446,7429,87.4,0.71,GUT_GENOME153239,MGYG-HGUT-02597
GUT_GENOME153241,3377041,24338,94.19,4.51,GUT_GENOME153241,MGYG-HGUT-02598
GUT_GENOME153266,2063834,28058,95.58,0.0,GUT_GENOME153266,MGYG-HGUT-02599
GUT_GENOME153272,2448724,72056,99.29,0.95,GUT_GENOME153272,MGYG-HGUT-02600
GUT_GENOME153344,2683696,21066,98.77,0.0,GUT_GENOME153344,MGYG-HGUT-02601
GUT_GENOME153591,2192997,207033,98.66,1.34,GUT_GENOME153591,MGYG-HGUT-02602
GUT_GENOME153760,2739364,141652,76.86,0.51,GUT_GENOME153760,MGYG-HGUT-02603
GUT_GENOME153805,1992821,3889,63.18,1.68,GUT_GENOME153805,MGYG-HGUT-02604
GUT_GENOME153870,1854240,114442,89.74,0.85,GUT_GENOME153870,MGYG-HGUT-02605
GUT_GENOME153913,2480404,44334,97.36,1.14,GUT_GENOME153913,MGYG-HGUT-02606
GUT_GENOME153922,1265326,98603,93.82,2.25,GUT_GENOME153922,MGYG-HGUT-02607
GUT_GENOME153931,2400131,373969,97.95,0.0,GUT_GENOME153931,MGYG-HGUT-02608
GUT_GENOME154595,3323522,111024,99.78,0.0,GUT_GENOME154595,MGYG-HGUT-02609
GUT_GENOME154740,2250349,99717,93.03,0.0,GUT_GENOME154740,MGYG-HGUT-02610
GUT_GENOME154813,1481378,7233,82.04,3.75,GUT_GENOME154813,MGYG-HGUT-02611
GUT_GENOME154896,2090458,143278,91.95,0.67,GUT_GENOME154896,MGYG-HGUT-02612
GUT_GENOME155041,2968338,17429,96.92,0.56,GUT_GENOME155041,MGYG-HGUT-02613
GUT_GENOME155164,2560607,12773,68.45,0.0,GUT_GENOME155164,MGYG-HGUT-02614
GUT_GENOME155166,1647343,5670,89.89,1.5,GUT_GENOME155166,MGYG-HGUT-02615
GUT_GENOME155267,1919079,80755,96.77,0.0,GUT_GENOME155267,MGYG-HGUT-02616
GUT_GENOME155275,1963579,64585,98.2,0.0,GUT_GENOME155275,MGYG-HGUT-02617
GUT_GENOME155428,1951519,35248,96.18,1.85,GUT_GENOME155428,MGYG-HGUT-02618
GUT_GENOME155439,2724245,251415,99.32,0.0,GUT_GENOME155439,MGYG-HGUT-02619
GUT_GENOME155459,3478150,269940,100.0,0.0,GUT_GENOME155459,MGYG-HGUT-02620
GUT_GENOME155674,3633256,75099,90.35,0.0,GUT_GENOME155674,MGYG-HGUT-02621
GUT_GENOME155679,3429958,95349,97.98,0.0,GUT_GENOME155679,MGYG-HGUT-02622
GUT_GENOME155703,2630993,170224,95.97,0.0,GUT_GENOME155703,MGYG-HGUT-02623
GUT_GENOME155708,1428680,99221,52.42,0.43,GUT_GENOME155708,MGYG-HGUT-02624
GUT_GENOME155713,2526414,22984,95.61,0.67,GUT_GENOME155713,MGYG-HGUT-02625
GUT_GENOME155718,2160259,37875,95.28,0.89,GUT_GENOME155718,MGYG-HGUT-02626
GUT_GENOME155722,2286370,18417,88.45,2.68,GUT_GENOME155722,MGYG-HGUT-02627
GUT_GENOME155726,2607866,49278,93.04,0.06,GUT_GENOME155726,MGYG-HGUT-02628
GUT_GENOME155741,939337,3120,50.49,0.0,GUT_GENOME155741,MGYG-HGUT-02629
GUT_GENOME155809,1395916,18606,94.31,0.5,GUT_GENOME155809,MGYG-HGUT-02630
GUT_GENOME155913,1889219,181799,99.36,0.27,GUT_GENOME155913,MGYG-HGUT-02631
GUT_GENOME155926,1845689,9625,89.04,0.6,GUT_GENOME155926,MGYG-HGUT-02632
GUT_GENOME155959,2903436,54355,98.28,0.02,GUT_GENOME155959,MGYG-HGUT-02633
GUT_GENOME155972,1948050,190222,99.66,0.06,GUT_GENOME155972,MGYG-HGUT-02634
GUT_GENOME156063,1818006,6444,96.02,1.52,GUT_GENOME156063,MGYG-HGUT-02635
GUT_GENOME156118,2075441,34971,78.0,0.0,GUT_GENOME156118,MGYG-HGUT-02636
GUT_GENOME156119,2560086,72848,71.62,0.0,GUT_GENOME156119,MGYG-HGUT-02637
GUT_GENOME156121,2571408,20678,98.04,0.0,GUT_GENOME156121,MGYG-HGUT-02638
GUT_GENOME156122,1663723,31381,94.2,0.98,GUT_GENOME156122,MGYG-HGUT-02639
GUT_GENOME156224,2032895,75327,96.13,0.2,GUT_GENOME156224,MGYG-HGUT-02640
GUT_GENOME156244,2686912,110943,99.87,0.0,GUT_GENOME156244,MGYG-HGUT-02641
GUT_GENOME156655,1921791,38021,93.59,1.8,GUT_GENOME156655,MGYG-HGUT-02642
GUT_GENOME156849,2740903,59740,97.5,0.04,GUT_GENOME156849,MGYG-HGUT-02643
GUT_GENOME156886,4364814,33901,82.53,2.24,GUT_GENOME156886,MGYG-HGUT-02644
GUT_GENOME156895,1957289,203406,98.2,0.0,GUT_GENOME156895,MGYG-HGUT-02645
GUT_GENOME156969,1639033,54167,62.07,0.0,GUT_GENOME156969,MGYG-HGUT-02646
GUT_GENOME157017,1281983,4168,57.21,0.0,GUT_GENOME157017,MGYG-HGUT-02647
GUT_GENOME157119,1864710,23549,79.98,0.05,GUT_GENOME157119,MGYG-HGUT-02648
GUT_GENOME157129,1168434,14702,96.52,0.1,GUT_GENOME157129,MGYG-HGUT-02649
GUT_GENOME157138,3040804,9376,86.54,3.38,GUT_GENOME157138,MGYG-HGUT-02650
GUT_GENOME157191,2281803,29647,96.43,0.68,GUT_GENOME157191,MGYG-HGUT-02651
GUT_GENOME157195,3178465,32046,74.52,1.77,GUT_GENOME157195,MGYG-HGUT-02652
GUT_GENOME157213,3045320,60350,97.63,0.95,GUT_GENOME157213,MGYG-HGUT-02653
GUT_GENOME157246,1220778,6145,80.78,0.83,GUT_GENOME157246,MGYG-HGUT-02654
GUT_GENOME157264,1601347,8350,82.89,1.48,GUT_GENOME157264,MGYG-HGUT-02655
GUT_GENOME157265,1621357,10022,79.98,4.19,GUT_GENOME157265,MGYG-HGUT-02656
GUT_GENOME157273,2838774,32155,92.6,3.13,GUT_GENOME157273,MGYG-HGUT-02657
GUT_GENOME157276,2287878,10249,84.6,0.0,GUT_GENOME157276,MGYG-HGUT-02658
GUT_GENOME157290,2094336,8758,89.84,4.19,GUT_GENOME157290,MGYG-HGUT-02659
GUT_GENOME157303,1485202,9235,91.01,0.0,GUT_GENOME157303,MGYG-HGUT-02660
GUT_GENOME157308,2289773,8681,90.25,1.23,GUT_GENOME157308,MGYG-HGUT-02661
GUT_GENOME157330,2000155,70379,96.77,0.0,GUT_GENOME157330,MGYG-HGUT-02662
GUT_GENOME157353,2098573,30188,75.28,0.19,GUT_GENOME157353,MGYG-HGUT-02663
GUT_GENOME157359,2103096,27918,95.88,0.0,GUT_GENOME157359,MGYG-HGUT-02664
GUT_GENOME157363,2269647,17503,82.41,0.0,GUT_GENOME157363,MGYG-HGUT-02665
GUT_GENOME157376,771072,3764,62.32,1.08,GUT_GENOME157376,MGYG-HGUT-02666
GUT_GENOME157380,1809480,30759,88.93,0.0,GUT_GENOME157380,MGYG-HGUT-02667
GUT_GENOME157398,2820424,8729,79.87,0.51,GUT_GENOME157398,MGYG-HGUT-02668
GUT_GENOME157422,1762651,5673,73.3,0.0,GUT_GENOME157422,MGYG-HGUT-02669
GUT_GENOME157463,2535418,123478,94.2,0.97,GUT_GENOME157463,MGYG-HGUT-02670
GUT_GENOME157468,2505445,123274,98.6,0.7,GUT_GENOME157468,MGYG-HGUT-02671
GUT_GENOME157698,2438668,81545,93.69,0.67,GUT_GENOME157698,MGYG-HGUT-02672
GUT_GENOME157750,2826346,78418,97.99,1.14,GUT_GENOME157750,MGYG-HGUT-02673
GUT_GENOME157833,2150198,12834,78.31,1.7,GUT_GENOME157833,MGYG-HGUT-02674
GUT_GENOME157873,2270055,221939,99.52,0.98,GUT_GENOME157873,MGYG-HGUT-02675
GUT_GENOME157951,2126520,158245,95.08,2.01,GUT_GENOME157951,MGYG-HGUT-02676
GUT_GENOME157975,1532267,5650,86.87,1.34,GUT_GENOME157975,MGYG-HGUT-02677
GUT_GENOME157990,1562790,179105,65.35,0.03,GUT_GENOME157990,MGYG-HGUT-02678
GUT_GENOME158031,1155735,78066,72.61,0.0,GUT_GENOME158031,MGYG-HGUT-02679
GUT_GENOME158068,3025979,31127,94.07,2.19,GUT_GENOME158068,MGYG-HGUT-02680
GUT_GENOME158142,1889419,14883,98.63,0.0,GUT_GENOME158142,MGYG-HGUT-02681
GUT_GENOME158155,2273918,57632,98.1,1.68,GUT_GENOME158155,MGYG-HGUT-02682
GUT_GENOME158229,3225682,12893,93.4,0.45,GUT_GENOME158229,MGYG-HGUT-02683
GUT_GENOME158290,2007927,22909,91.28,0.67,GUT_GENOME158290,MGYG-HGUT-02684
GUT_GENOME158306,3385444,7341,91.54,3.26,GUT_GENOME158306,MGYG-HGUT-02685
GUT_GENOME158324,1530597,15478,90.4,2.43,GUT_GENOME158324,MGYG-HGUT-02686
GUT_GENOME158398,2671909,19812,99.88,1.18,GUT_GENOME158398,MGYG-HGUT-02687
GUT_GENOME158419,1832213,8184,79.23,0.03,GUT_GENOME158419,MGYG-HGUT-02688
GUT_GENOME158484,2122323,53622,94.63,0.0,GUT_GENOME158484,MGYG-HGUT-02689
GUT_GENOME158521,2149807,33450,100.0,0.0,GUT_GENOME158521,MGYG-HGUT-02690
GUT_GENOME158523,2941528,83389,94.53,0.0,GUT_GENOME158523,MGYG-HGUT-02691
GUT_GENOME158553,1099388,68572,59.68,0.0,GUT_GENOME158553,MGYG-HGUT-02692
GUT_GENOME158600,2842397,17170,93.18,0.67,GUT_GENOME158600,MGYG-HGUT-02693
GUT_GENOME158606,2309879,5680,78.71,3.36,GUT_GENOME158606,MGYG-HGUT-02694
GUT_GENOME158618,1947536,138941,96.87,0.0,GUT_GENOME158618,MGYG-HGUT-02695
GUT_GENOME158620,2395340,89567,90.27,1.34,GUT_GENOME158620,MGYG-HGUT-02696
GUT_GENOME158621,2481222,53877,93.62,1.01,GUT_GENOME158621,MGYG-HGUT-02697
GUT_GENOME158633,1500847,9470,86.24,1.34,GUT_GENOME158633,MGYG-HGUT-02698
GUT_GENOME158638,3362623,47008,97.72,0.81,GUT_GENOME158638,MGYG-HGUT-02699
GUT_GENOME158639,2476067,32418,93.38,1.68,GUT_GENOME158639,MGYG-HGUT-02700
GUT_GENOME158644,1575023,4346,69.64,0.4,GUT_GENOME158644,MGYG-HGUT-02701
GUT_GENOME158646,2615547,12956,95.25,2.51,GUT_GENOME158646,MGYG-HGUT-02702
GUT_GENOME158649,2279337,82830,99.52,0.64,GUT_GENOME158649,MGYG-HGUT-02703
GUT_GENOME158752,2615514,75272,96.4,0.0,GUT_GENOME158752,MGYG-HGUT-02704
GUT_GENOME158781,2922707,38646,96.77,0.67,GUT_GENOME158781,MGYG-HGUT-02705
GUT_GENOME158799,2498174,5603,78.31,1.79,GUT_GENOME158799,MGYG-HGUT-02706
GUT_GENOME158821,2624853,70052,91.95,0.67,GUT_GENOME158821,MGYG-HGUT-02707
GUT_GENOME158837,2747526,6156,84.61,2.01,GUT_GENOME158837,MGYG-HGUT-02708
GUT_GENOME158850,2046001,32670,91.95,0.0,GUT_GENOME158850,MGYG-HGUT-02709
GUT_GENOME158868,2272062,128452,94.63,0.67,GUT_GENOME158868,MGYG-HGUT-02710
GUT_GENOME158963,3636319,100927,98.66,0.67,GUT_GENOME158963,MGYG-HGUT-02711
GUT_GENOME159026,2564184,28637,95.09,0.12,GUT_GENOME159026,MGYG-HGUT-02712
GUT_GENOME159031,2668614,10311,94.63,0.02,GUT_GENOME159031,MGYG-HGUT-02713
GUT_GENOME159033,1770237,5995,82.53,1.76,GUT_GENOME159033,MGYG-HGUT-02714
GUT_GENOME159035,2198693,69537,97.99,0.0,GUT_GENOME159035,MGYG-HGUT-02715
GUT_GENOME159064,1923088,69643,90.21,0.0,GUT_GENOME159064,MGYG-HGUT-02716
GUT_GENOME159262,5602088,8800,59.48,1.72,GUT_GENOME159262,MGYG-HGUT-02717
GUT_GENOME159348,2757942,21803,92.5,0.67,GUT_GENOME159348,MGYG-HGUT-02718
GUT_GENOME159364,3080250,9025,89.6,1.97,GUT_GENOME159364,MGYG-HGUT-02719
GUT_GENOME159485,2167667,47585,92.28,0.0,GUT_GENOME159485,MGYG-HGUT-02720
GUT_GENOME159493,3174810,80333,97.92,0.38,GUT_GENOME159493,MGYG-HGUT-02721
GUT_GENOME159508,1851778,53643,97.79,0.0,GUT_GENOME159508,MGYG-HGUT-02722
GUT_GENOME159536,2168286,55127,91.05,0.0,GUT_GENOME159536,MGYG-HGUT-02723
GUT_GENOME159567,2055891,69432,91.95,0.73,GUT_GENOME159567,MGYG-HGUT-02724
GUT_GENOME159606,3333010,30631,96.42,0.64,GUT_GENOME159606,MGYG-HGUT-02725
GUT_GENOME159700,2294968,9368,90.71,2.01,GUT_GENOME159700,MGYG-HGUT-02726
GUT_GENOME159708,2631822,115537,90.42,1.63,GUT_GENOME159708,MGYG-HGUT-02727
GUT_GENOME159952,1869354,9617,89.06,1.24,GUT_GENOME159952,MGYG-HGUT-02728
GUT_GENOME160029,1251408,113400,74.19,0.0,GUT_GENOME160029,MGYG-HGUT-02729
GUT_GENOME160374,1768289,5390,82.16,0.81,GUT_GENOME160374,MGYG-HGUT-02730
GUT_GENOME160490,1087449,3007,55.65,0.0,GUT_GENOME160490,MGYG-HGUT-02731
GUT_GENOME160895,1845183,6565,90.71,1.61,GUT_GENOME160895,MGYG-HGUT-02732
GUT_GENOME161027,2043225,67621,100.0,0.81,GUT_GENOME161027,MGYG-HGUT-02733
GUT_GENOME161205,2014298,24627,100.0,1.15,GUT_GENOME161205,MGYG-HGUT-02734
GUT_GENOME161213,2093666,18225,94.56,0.81,GUT_GENOME161213,MGYG-HGUT-02735
GUT_GENOME161262,2234011,81103,95.97,0.0,GUT_GENOME161262,MGYG-HGUT-02736
GUT_GENOME161306,2443712,35796,72.1,0.37,GUT_GENOME161306,MGYG-HGUT-02737
GUT_GENOME161370,3492433,29703,98.71,0.0,GUT_GENOME161370,MGYG-HGUT-02738
GUT_GENOME161449,1755421,4258,80.9,0.0,GUT_GENOME161449,MGYG-HGUT-02739
GUT_GENOME161643,1940244,14071,97.98,2.42,GUT_GENOME161643,MGYG-HGUT-02740
GUT_GENOME161802,2038583,26779,98.39,1.61,GUT_GENOME161802,MGYG-HGUT-02741
GUT_GENOME161819,2044833,23691,96.37,0.81,GUT_GENOME161819,MGYG-HGUT-02742
GUT_GENOME161899,1992884,10271,87.23,0.71,GUT_GENOME161899,MGYG-HGUT-02743
GUT_GENOME161911,2163289,33859,97.98,0.81,GUT_GENOME161911,MGYG-HGUT-02744
GUT_GENOME161955,2106192,18712,99.08,2.02,GUT_GENOME161955,MGYG-HGUT-02745
GUT_GENOME161956,1928914,33069,100.0,0.81,GUT_GENOME161956,MGYG-HGUT-02746
GUT_GENOME161997,2025294,80081,97.58,0.81,GUT_GENOME161997,MGYG-HGUT-02747
GUT_GENOME162087,2053962,24454,99.19,2.42,GUT_GENOME162087,MGYG-HGUT-02748
GUT_GENOME162261,1700291,4841,75.17,1.08,GUT_GENOME162261,MGYG-HGUT-02749
GUT_GENOME162550,1920140,9623,86.78,3.63,GUT_GENOME162550,MGYG-HGUT-02750
